#id	name	features	celularLocation	elements	stoichiometry	evidence
pid_100410	HES1/Myb	activating-residue-modification	nucleus	pid_100411;pid_84157	pid_100411:1.0;pid_84157:1.0	None
pid_102204	Thrombin/PAR3	None	integral-to-membrane	pid_24939;pid_33714	pid_24939:1.0;pid_33714:1.0	None
pid_102338	ATF2/c-Jun	activating-residue-modification	nucleus	pid_102339;pid_52425	pid_102339:1.0;pid_52425:1.0	None
pid_102358	p38alpha-beta/HBP1	activating-residue-modification	None	pid_102359;pid_13890	pid_102359:1.0;pid_13890:1.0	None
pid_102406	p38alpha-beta/MAPKAPK2	activating-residue-modification	None	pid_102407;pid_13890	pid_102407:1.0;pid_13890:1.0	None
pid_102429	p38alpha-beta/MAPKAPK3	activating-residue-modification	None	pid_102430;pid_13890	pid_102430:1.0;pid_13890:1.0	None
pid_102465	p38alpha-beta/MNK1	activating-residue-modification	None	pid_102466;pid_13890	pid_102466:1.0;pid_13890:1.0	None
pid_102493	RAB5/GDP	inactivating-residue-modification	endosome	pid_26412;pid_3119	pid_26412:1.0;pid_3119:1.0	None
pid_102496	RAB5/GDP/GDI1	inactivating-residue-modification	cytoplasm	pid_102497;pid_26412;pid_3119	pid_102497:1.0;pid_26412:1.0;pid_3119:1.0	None
pid_102555	p38alpha-beta/CK2	activating-residue-modification	None	pid_13890;pid_28154	pid_13890:1.0;pid_28154:1.0	None
pid_103108	Centraspindlin	None	spindle-midzone	pid_103109;pid_103112	pid_103109:1.0;pid_103112:1.0	None
pid_103119	Centraspindlin	None	spindle-midzone	pid_103120;pid_103124	pid_103120:1.0;pid_103124:1.0	None
pid_103132	Chromosomal-passenger-complex	activating-residue-modification	spindle-midzone	pid_103133;pid_103135;pid_103140;pid_103142	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0	None
pid_103163	Aurora-B/RasGAP	inactivating-residue-modification	None	pid_86642;pid_9236	pid_86642:1.0;pid_9236:1.0	None
pid_103167	Aurora-B/RasGAP/Survivin	inactivating-residue-modification	None	pid_83366;pid_86642;pid_9236	pid_83366:1.0;pid_86642:1.0;pid_9236:1.0	None
pid_103177	NSUN2/NPM1/Nucleolin	None	None	pid_103178;pid_38673;pid_83263	pid_103178:1.0;pid_38673:1.0;pid_83263:1.0	None
pid_103239	Aurora-B/Septin1	None	midbody	pid_103240;pid_86642	pid_103240:1.0;pid_86642:1.0	None
pid_103256	Chromosomal-passenger-complex	activating-residue-modification	kinetochore	pid_103133;pid_103135;pid_103140;pid_103142	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0	None
pid_103263	Chromosomal-passenger-complex	activating-residue-modification	inner-kinetochore-of-condensed-chromosome	pid_103133;pid_103135;pid_103140;pid_103142	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0	None
pid_103289	Chromosomal-passenger-complex	activating-residue-modification	chromosome	pid_103133;pid_103135;pid_103140;pid_103142	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0	None
pid_103307	Aurora-B/HC8-Proteasome	None	None	pid_103308;pid_103310	pid_103308:1.0;pid_103310:1.0	None
pid_103318	Condensin-I-complex	None	chromosome	pid_103319;pid_103322;pid_103325;pid_103328;pid_103331	pid_103319:1.0;pid_103322:1.0;pid_103325:1.0;pid_103328:1.0;pid_103331:1.0	None
pid_103339	Condensin-I-complex	None	chromosome	pid_103322;pid_103328;pid_103340;pid_103342;pid_103344	pid_103322:1.0;pid_103328:1.0;pid_103340:1.0;pid_103342:1.0;pid_103344:1.0	None
pid_103358	Chromosomal-passenger-complex/Cul3-protein-complex	activating-residue-modification	spindle-midzone	pid_103135;pid_103140;pid_103142;pid_103308;pid_103359;pid_103362;pid_88938	pid_103135:1.0;pid_103140:1.0;pid_103142:1.0;pid_103308:1.0;pid_103359:1.0;pid_103362:1.0;pid_88938:1.0	None
pid_103382	hSgo1/Aurora-B/Survivin	None	None	pid_103379;pid_83366;pid_86642	pid_103379:1.0;pid_83366:1.0;pid_86642:1.0	None
pid_103398	Chromosomal-passenger-complex/EVI5	activating-residue-modification	midbody	pid_103133;pid_103135;pid_103140;pid_103142;pid_103399	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0;pid_103399:1.0	None
pid_103416	Cul3-protein-complex	None	None	pid_103359;pid_103362;pid_88938	pid_103359:1.0;pid_103362:1.0;pid_88938:1.0	None
pid_103420	Chromosomal-passenger-complex/Cul3-protein-complex	activating-residue-modification	chromosome	pid_103133;pid_103135;pid_103140;pid_103142;pid_103359;pid_103362;pid_88938	pid_103133:1.0;pid_103135:1.0;pid_103140:1.0;pid_103142:1.0;pid_103359:1.0;pid_103362:1.0;pid_88938:1.0	None
pid_103472	Aurora-B/TACC1	None	spindle-midzone	pid_86642;pid_90978	pid_86642:1.0;pid_90978:1.0	None
pid_103493	Chromosomal-passenger-complex/Cul3-protein-complex	activating-residue-modification	inner-kinetochore-of-condensed-chromosome	pid_103135;pid_103140;pid_103142;pid_103308;pid_103359;pid_103362;pid_88938	pid_103135:1.0;pid_103140:1.0;pid_103142:1.0;pid_103308:1.0;pid_103359:1.0;pid_103362:1.0;pid_88938:1.0	None
pid_103543	Aurora-C/Aurora-B/INCENP	None	chromosome	pid_103287;pid_103544;pid_103546	pid_103287:1.0;pid_103544:1.0;pid_103546:1.0	None
pid_103612	Aurora-B/PP1-gamma	None	None	pid_103613;pid_103615	pid_103613:1.0;pid_103615:1.0	None
pid_103618	Aurora-B/PP2A	None	None	pid_103613;pid_66956	pid_103613:1.0;pid_66956:1.0	None
pid_104508	RAC1/GTP	activating-residue-modification	cell-cell-junction	pid_24894;pid_3114	pid_24894:1.0;pid_3114:1.0	None
pid_104540	RhoA/GTP;RHOA/GTP	activating-residue-modification	cell-cell-junction	pid_27965;pid_3114	pid_27965:1.0;pid_3114:1.0	None
pid_104646	N-cadherin/Ca2+/beta-catenin/alpha-catenin/p120-catenin/Fer	None	cell-cell-junction	pid_104647;pid_22030;pid_26211;pid_26214;pid_26255;pid_8546	pid_104647:1.0;pid_22030:1.0;pid_26211:1.0;pid_26214:1.0;pid_26255:1.0;pid_8546:1.0	None
pid_104657	N-cadherin/p120-catenin/beta-catenin/alpha-catenin	None	integral-to-membrane	pid_22030;pid_26211;pid_26214;pid_26255	pid_22030:1.0;pid_26211:1.0;pid_26214:1.0;pid_26255:1.0	None
pid_104694	N-cadherin/p120-catenin/beta-catenin/alpha-catenin/LRP5/Axin1	None	None	pid_22030;pid_26211;pid_26214;pid_26255;pid_369;pid_48362	pid_22030:1.0;pid_26211:1.0;pid_26214:1.0;pid_26255:1.0;pid_369:1.0;pid_48362:1.0	None
pid_104750	voltage-gated-calcium-channel-complex	None	None	None	None	None
pid_104751	voltage-gated-calcium-channel-complex	activating-residue-modification	None	None	None	None
pid_104823	GAP43/CaM	None	None	pid_104824;pid_8548	pid_104824:1.0;pid_8548:1.0	None
pid_104838	myosin-II-complex	None	None	pid_33468	pid_33468:1.0	None
pid_104887	N-cadherin/p120-catenin/beta-catenin-gamma-catenin/alpha-catenin	None	Golgi-apparatus	pid_22030;pid_26211;pid_26255;pid_26256	pid_22030:1.0;pid_26211:1.0;pid_26255:1.0;pid_26256:1.0	None
pid_104892	N-cadherin/p120-catenin/beta-catenin-gamma-catenin/alpha-catenin	None	integral-to-membrane	pid_22030;pid_26211;pid_26255;pid_26256	pid_22030:1.0;pid_26211:1.0;pid_26255:1.0;pid_26256:1.0	None
pid_105729	HMGB1/TLR4/MD2-(dimer)/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105732;pid_105734;pid_105736;pid_20850	pid_105730:1.0;pid_105732:2.0;pid_105734:2.0;pid_105736:1.0;pid_20850:1.0	None
pid_105755	HSP60/TLR2/TLR1	None	integral-to-membrane	pid_105756;pid_105758;pid_83131	pid_105756:1.0;pid_105758:1.0;pid_83131:1.0	None
pid_105770	BGN/TLR2/TLR1/MD2-(dimer)/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105734;pid_105756;pid_105758;pid_105771;pid_20850	pid_105730:1.0;pid_105734:2.0;pid_105756:1.0;pid_105758:1.0;pid_105771:1.0;pid_20850:1.0	None
pid_105785	HSP60/TLR4/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_105734;pid_83131	pid_105732:2.0;pid_105734:2.0;pid_83131:1.0	None
pid_105790	MYD88/TIRAP	None	cytoplasm	pid_105730;pid_20850	pid_105730:1.0;pid_20850:1.0	None
pid_105793	HSP60/TLR4/MD2-(dimer)/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105732;pid_105734;pid_20850;pid_83131	pid_105730:1.0;pid_105732:2.0;pid_105734:2.0;pid_20850:1.0;pid_83131:1.0	None
pid_105808	SAA1/TLR2/TLR1	activating-residue-modification	integral-to-membrane	pid_105756;pid_105758;pid_105809	pid_105756:1.0;pid_105758:1.0;pid_105809:1.0	None
pid_105821	TLR2/MD2	None	integral-to-membrane	pid_105734;pid_105756	pid_105734:1.0;pid_105756:1.0	None
pid_105824	TLR1/MD2	None	integral-to-membrane	pid_105734;pid_105758	pid_105734:1.0;pid_105758:1.0	None
pid_105827	BGN/TLR2/TLR1/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105734;pid_105756;pid_105758;pid_105771	pid_105734:2.0;pid_105756:1.0;pid_105758:1.0;pid_105771:1.0	None
pid_105844	TLR3-(dimer)	activating-residue-modification	integral-to-membrane	pid_105845	pid_105845:2.0	None
pid_105857	TLR4/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_105734	pid_105732:2.0;pid_105734:2.0	None
pid_105867	TLR4/MD2	None	integral-to-membrane	pid_105732;pid_105734	pid_105732:1.0;pid_105734:1.0	None
pid_105870	HMGB1/TLR4/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_105734;pid_105736	pid_105732:2.0;pid_105734:2.0;pid_105736:1.0	None
pid_105909	BGN/TLR4/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_105734;pid_105771	pid_105732:2.0;pid_105734:2.0;pid_105771:1.0	None
pid_105926	VCAN/TLR2/TLR1	activating-residue-modification	integral-to-membrane	pid_105756;pid_105758;pid_105927	pid_105756:1.0;pid_105758:1.0;pid_105927:1.0	None
pid_105948	BGN/TLR4/MD2-(dimer)/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105732;pid_105734;pid_105771;pid_20850	pid_105730:1.0;pid_105732:2.0;pid_105734:2.0;pid_105771:1.0;pid_20850:1.0	None
pid_105960	SFTPA1/TLR2/TLR1	activating-residue-modification	integral-to-membrane	pid_105756;pid_105758;pid_87923	pid_105756:1.0;pid_105758:1.0;pid_87923:1.0	None
pid_105982	MRP8/MRP14/TLR4/MD2-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_105734;pid_105983;pid_105986	pid_105732:2.0;pid_105734:2.0;pid_105983:1.0;pid_105986:1.0	None
pid_105994	MRP8/MRP14/TLR4/MD2-(dimer)/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105732;pid_105734;pid_105983;pid_105986;pid_20850	pid_105730:1.0;pid_105732:2.0;pid_105734:2.0;pid_105983:1.0;pid_105986:1.0;pid_20850:1.0	None
pid_106020	SFTPA1/TLR4-(dimer)	activating-residue-modification	integral-to-membrane	pid_105732;pid_87923	pid_105732:2.0;pid_87923:1.0	None
pid_106032	TLR2/TLR6	activating-residue-modification	integral-to-membrane	pid_105756;pid_106033	pid_105756:1.0;pid_106033:1.0	None
pid_106046	HMGB1/TLR2/TLR1	activating-residue-modification	integral-to-membrane	pid_105736;pid_105756;pid_105758	pid_105736:1.0;pid_105756:1.0;pid_105758:1.0	None
pid_106072	IKK-complex	None	None	pid_106073;pid_5371;pid_7560	pid_106073:1.0;pid_5371:1.0;pid_7560:1.0	None
pid_106078	IKK-complex	activating-residue-modification	None	pid_106073;pid_5371;pid_7560	pid_106073:1.0;pid_5371:1.0;pid_7560:1.0	None
pid_106086	HMGB1/TLR4/MD2-(dimer)/MYD88/TIRAP/IRAK/IRAK2/IRAK4	activating-residue-modification	integral-to-membrane	pid_105730;pid_105732;pid_105734;pid_105736;pid_106087;pid_20811;pid_20833;pid_20850	pid_105730:1.0;pid_105732:2.0;pid_105734:2.0;pid_105736:1.0;pid_106087:1.0;pid_20811:1.0;pid_20833:1.0;pid_20850:1.0	None
pid_106145	HMGB1/TLR2/TLR1/MYD88/TIRAP	activating-residue-modification	integral-to-membrane	pid_105730;pid_105736;pid_105756;pid_105758;pid_20850	pid_105730:1.0;pid_105736:1.0;pid_105756:1.0;pid_105758:1.0;pid_20850:1.0	None
pid_106152	HMGB1/TLR2/TLR1/MYD88/TIRAP/IRAK/IRAK2/IRAK4	activating-residue-modification	integral-to-membrane	pid_105730;pid_105736;pid_105756;pid_105758;pid_106087;pid_20811;pid_20833;pid_20850	pid_105730:1.0;pid_105736:1.0;pid_105756:1.0;pid_105758:1.0;pid_106087:1.0;pid_20811:1.0;pid_20833:1.0;pid_20850:1.0	None
pid_106170	MRP8/MRP14	None	extracellular-region	pid_105983;pid_105986	pid_105983:1.0;pid_105986:1.0	None
pid_106212	TLR3-(dimer)/TRIF	activating-residue-modification	integral-to-membrane	pid_105845;pid_106213	pid_105845:2.0;pid_106213:1.0	None
pid_106273	ARF5/GDP	inactivating-residue-modification	None	pid_106274;pid_3119	pid_106274:1.0;pid_3119:1.0	None
pid_106280	ARF5/GTP	activating-residue-modification	None	pid_106274;pid_3114	pid_106274:1.0;pid_3114:1.0	None
pid_106312	RAS-family/GTP/PI3K-Class-I	activating-residue-modification	plasma-membrane	pid_3114;pid_35610;pid_5654	pid_3114:1.0;pid_35610:1.0;pid_5654:1.0	None
pid_106333	Src-family/SYK-family/BLNK-LAT	activating-residue-modification	None	pid_106334;pid_106338;pid_28479	pid_106334:1.0;pid_106338:1.0;pid_28479:1.0	None
pid_106349	Src-family/SYK-family/BLNK-LAT/BTK-ITK	activating-residue-modification	None	pid_106334;pid_106338;pid_106350;pid_28479	pid_106334:1.0;pid_106338:1.0;pid_106350:1.0;pid_28479:1.0	None
pid_106376	Src-family/SYK-family/BLNK-LAT/BTK-ITK/PLC-gamma	activating-residue-modification	None	pid_106334;pid_106338;pid_106350;pid_106377;pid_28479	pid_106334:1.0;pid_106338:1.0;pid_106350:1.0;pid_106377:1.0;pid_28479:1.0	None
pid_106394	ARF1/GDP	inactivating-residue-modification	None	pid_3119;pid_71518	pid_3119:1.0;pid_71518:1.0	None
pid_106397	ARF1/GTP	activating-residue-modification	plasma-membrane	pid_3114;pid_71518	pid_3114:1.0;pid_71518:1.0	None
pid_106496	ARAP3/RAP1A/GTP	activating-residue-modification	None	pid_106497;pid_12228;pid_3114	pid_106497:1.0;pid_12228:1.0;pid_3114:1.0	None
pid_106563	RAP1A/GTP	activating-residue-modification	None	pid_12228;pid_3114	pid_12228:1.0;pid_3114:1.0	None
pid_106881	uPA/uPAR/alpha3/beta-1-Integrin;uPA/uPAR/alpha3/beta1-Integrin	None	integral-to-membrane	pid_12886;pid_12889;pid_99352;pid_99550;pid_99553	pid_12886:1.0;pid_12889:1.0;pid_99352:1.0;pid_99550:1.0;pid_99553:1.0	None
pid_106888	uPA/uPAR/alpha3/beta1-Integrin/Vitronectin	None	integral-to-membrane	pid_12886;pid_12889;pid_71336;pid_99352;pid_99550;pid_99553	pid_12886:1.0;pid_12889:1.0;pid_71336:1.0;pid_99352:1.0;pid_99550:1.0;pid_99553:1.0	None
pid_106903	alpha4/beta1-Integrin	None	integral-to-membrane	pid_12886;pid_60132	pid_12886:1.0;pid_60132:1.0	None
pid_106909	alpha4/beta1-Integrin/CD81	None	integral-to-membrane	pid_106910;pid_12886;pid_60132	pid_106910:1.0;pid_12886:1.0;pid_60132:1.0	None
pid_106910	CD81	None	None	None	None	None
pid_106920	alpha8/beta1-Integrin/Osteopontin	None	integral-to-membrane	pid_12886;pid_30706;pid_60222	pid_12886:1.0;pid_30706:1.0;pid_60222:1.0	None
pid_106929	Type-VII-Collagen	None	extracellular-region	pid_96522	pid_96522:3.0	None
pid_106931	alpha2/beta1-Integrin/Type-VII-Collagen	None	integral-to-membrane	pid_12886;pid_60206;pid_96522	pid_12886:1.0;pid_60206:1.0;pid_96522:3.0	None
pid_106941	Laminin-4	None	basement-membrane	pid_106942;pid_106944;pid_106946	pid_106942:1.0;pid_106944:1.0;pid_106946:1.0	None
pid_106953	alpha6/beta1-Integrin/Laminin-4	None	integral-to-membrane	pid_106942;pid_106944;pid_106946;pid_12886;pid_60097	pid_106942:1.0;pid_106944:1.0;pid_106946:1.0;pid_12886:1.0;pid_60097:1.0	None
pid_106968	alpha3/beta1-Integrin/Entactin	None	integral-to-membrane	pid_106969;pid_12886;pid_12889	pid_106969:1.0;pid_12886:1.0;pid_12889:1.0	None
pid_106980	alpha7X1/beta1D-Integrin	None	None	pid_106981;pid_60140	pid_106981:1.0;pid_60140:1.0	None
pid_106986	Laminin-1	None	basement-membrane	pid_106944;pid_106987;pid_24840	pid_106944:1.0;pid_106987:1.0;pid_24840:1.0	None
pid_106992	alpha7X1/beta1D-Integrin/Laminin-1	None	None	pid_106944;pid_106981;pid_106987;pid_24840;pid_60140	pid_106944:1.0;pid_106981:1.0;pid_106987:1.0;pid_24840:1.0;pid_60140:1.0	None
pid_107006	alpha4/beta1-Integrin/CD14	None	integral-to-membrane	pid_107007;pid_12886;pid_60132	pid_107007:1.0;pid_12886:1.0;pid_60132:1.0	None
pid_107007	CD14	None	None	None	None	None
pid_107017	Thrombospondin-2	None	extracellular-region	pid_107018	pid_107018:3.0	None
pid_107022	alpha6/beta1-Integrin/Thrombospondin-2	None	integral-to-membrane	pid_107018;pid_12886;pid_60097	pid_107018:3.0;pid_12886:1.0;pid_60097:1.0	None
pid_107032	Tenascin-C	None	extracellular-matrix	pid_24711	pid_24711:6.0	None
pid_107039	Laminin-10	None	basement-membrane	pid_106944;pid_106987;pid_107040	pid_106944:1.0;pid_106987:1.0;pid_107040:1.0	None
pid_107045	alpha6/beta1-Integrin/Laminin-10	None	integral-to-membrane	pid_106944;pid_106987;pid_107040;pid_12886;pid_60097	pid_106944:1.0;pid_106987:1.0;pid_107040:1.0;pid_12886:1.0;pid_60097:1.0	None
pid_107064	alpha8/beta1-Integrin/nephronectin	None	integral-to-membrane	pid_107061;pid_12886;pid_60222	pid_107061:1.0;pid_12886:1.0;pid_60222:1.0	None
pid_107074	Thrombospondin	None	extracellular-region	pid_24646	pid_24646:3.0	None
pid_107076	alpha3/beta1-Integrin/Thrombospondin	None	integral-to-membrane	pid_12886;pid_12889;pid_24646	pid_12886:1.0;pid_12889:1.0;pid_24646:3.0	None
pid_107088	Fibrinogen	None	extracellular-region	pid_99494;pid_99496;pid_99498	pid_99494:2.0;pid_99496:2.0;pid_99498:2.0	None
pid_107092	alpha5/beta1-Integrin/Fibrinogen	None	integral-to-membrane	pid_12886;pid_25020;pid_99494;pid_99496;pid_99498	pid_12886:1.0;pid_25020:1.0;pid_99494:2.0;pid_99496:2.0;pid_99498:2.0	None
pid_107105	Factor-XIII	activating-residue-modification	None	pid_57888	pid_57888:2.0	None
pid_107113	Type-I-Collagen	None	extracellular-region	pid_82088;pid_96604	pid_82088:1.0;pid_96604:2.0	None
pid_107116	alpha1/beta1-Integrin/Type-I-Collagen;Type-I-Collagen/alpha1/beta1-Integrin	None	integral-to-membrane	pid_12886;pid_40058;pid_82088;pid_96604	pid_12886:1.0;pid_40058:1.0;pid_82088:1.0;pid_96604:2.0	None
pid_107131	Laminin-2	None	basement-membrane	pid_106942;pid_106944;pid_106987	pid_106942:1.0;pid_106944:1.0;pid_106987:1.0	None
pid_107135	alpha6/beta1-Integrin/Laminin-2	None	integral-to-membrane	pid_106942;pid_106944;pid_106987;pid_12886;pid_60097	pid_106942:1.0;pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_60097:1.0	None
pid_107148	Type-III-Collagen	None	extracellular-region	pid_96528	pid_96528:3.0	None
pid_107150	alpha2/beta1-Integrin/Type-III-Collagen	None	integral-to-membrane	pid_12886;pid_60206;pid_96528	pid_12886:1.0;pid_60206:1.0;pid_96528:3.0	None
pid_107161	alpha4/beta1-Integrin/Midkine	None	integral-to-membrane	pid_12886;pid_24903;pid_60132	pid_12886:1.0;pid_24903:1.0;pid_60132:1.0	None
pid_107171	Laminin-6	None	basement-membrane	pid_106944;pid_106987;pid_24675	pid_106944:1.0;pid_106987:1.0;pid_24675:1.0	None
pid_107175	alpha6/beta1-Integrin/Laminin-6	None	integral-to-membrane	pid_106944;pid_106987;pid_12886;pid_24675;pid_60097	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_24675:1.0;pid_60097:1.0	None
pid_107188	alpha7X1/beta1-Integrin/Laminin-10	None	None	pid_106944;pid_106987;pid_107040;pid_12886;pid_60140	pid_106944:1.0;pid_106987:1.0;pid_107040:1.0;pid_12886:1.0;pid_60140:1.0	None
pid_107202	alpha4/beta1-Integrin/CSPG4	None	integral-to-membrane	pid_107203;pid_12886;pid_60132	pid_107203:1.0;pid_12886:1.0;pid_60132:1.0	None
pid_107215	alpha1/beta1-Integrin/SCO-spondin	None	integral-to-membrane	pid_107213;pid_12886;pid_40058	pid_107213:1.0;pid_12886:1.0;pid_40058:1.0	None
pid_107225	alpha2/beta1-Integrin/Laminin-1	None	integral-to-membrane	pid_106944;pid_106987;pid_12886;pid_24840;pid_60206	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_24840:1.0;pid_60206:1.0	None
pid_107237	Type-II-Collagen	None	extracellular-region	pid_96533	pid_96533:3.0	None
pid_107239	alpha2/beta1-Integrin/Type-II-Collagen	None	integral-to-membrane	pid_12886;pid_60206;pid_96533	pid_12886:1.0;pid_60206:1.0;pid_96533:3.0	None
pid_107253	alpha6/beta1-Integrin/Midkine	None	integral-to-membrane	pid_12886;pid_24903;pid_60097	pid_12886:1.0;pid_24903:1.0;pid_60097:1.0	None
pid_107262	Laminin-11	None	basement-membrane	pid_106944;pid_106946;pid_107040	pid_106944:1.0;pid_106946:1.0;pid_107040:1.0	None
pid_107266	alpha7X1/beta1-Integrin/Laminin-11	None	None	pid_106944;pid_106946;pid_107040;pid_12886;pid_60140	pid_106944:1.0;pid_106946:1.0;pid_107040:1.0;pid_12886:1.0;pid_60140:1.0	None
pid_107277	alpha4/beta1-Integrin/Thrombospondin	None	integral-to-membrane	pid_12886;pid_24646;pid_60132	pid_12886:1.0;pid_24646:3.0;pid_60132:1.0	None
pid_107286	alpha2/beta1-Integrin/Laminin-2	None	integral-to-membrane	pid_106942;pid_106944;pid_106987;pid_12886;pid_60206	pid_106942:1.0;pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_60206:1.0	None
pid_107298	alpha11/beta1-Integrin/Type-I-Collagen	None	integral-to-membrane	pid_12886;pid_60237;pid_82088;pid_96604	pid_12886:1.0;pid_60237:1.0;pid_82088:1.0;pid_96604:2.0	None
pid_107309	alpha3/beta1-Integrin/CSPG4	None	integral-to-membrane	pid_107203;pid_12886;pid_12889	pid_107203:1.0;pid_12886:1.0;pid_12889:1.0	None
pid_107331	alpha1/beta1-Integrin/Laminin-1	None	integral-to-membrane	pid_106944;pid_106987;pid_12886;pid_24840;pid_40058	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_24840:1.0;pid_40058:1.0	None
pid_107343	Laminin-5	None	basement-membrane	pid_107344;pid_107347;pid_24675	pid_107344:1.0;pid_107347:1.0;pid_24675:1.0	None
pid_107353	alpha2/beta1-Integrin/Laminin-5	None	integral-to-membrane	pid_107344;pid_107347;pid_12886;pid_24675;pid_60206	pid_107344:1.0;pid_107347:1.0;pid_12886:1.0;pid_24675:1.0;pid_60206:1.0	None
pid_107364	alpha3/beta1-Integrin/Laminin-1	None	integral-to-membrane	pid_106944;pid_106987;pid_12886;pid_12889;pid_24840	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_12889:1.0;pid_24840:1.0	None
pid_107377	Type-XI-Collagen	None	extracellular-region	pid_96533;pid_96593;pid_96596	pid_96533:1.0;pid_96593:1.0;pid_96596:1.0	None
pid_107381	alpha2/beta1-Integrin/Type-XI-Collagen	None	integral-to-membrane	pid_12886;pid_60206;pid_96533;pid_96593;pid_96596	pid_12886:1.0;pid_60206:1.0;pid_96533:1.0;pid_96593:1.0;pid_96596:1.0	None
pid_107394	alpha4/beta1-Integrin/JAM-B	None	integral-to-membrane	pid_107392;pid_12886;pid_60132	pid_107392:1.0;pid_12886:1.0;pid_60132:1.0	None
pid_107404	alpha4/beta1-Integrin/Thrombospondin-2	None	integral-to-membrane	pid_107018;pid_12886;pid_60132	pid_107018:3.0;pid_12886:1.0;pid_60132:1.0	None
pid_107418	alpha7X2/beta1-Integrin/Laminin-2	None	None	pid_106942;pid_106944;pid_106987;pid_12886;pid_60214	pid_106942:1.0;pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_60214:1.0	None
pid_107430	alpha3/beta1-Integrin/Laminin-6	None	integral-to-membrane	pid_106944;pid_106987;pid_12886;pid_12889;pid_24675	pid_106944:1.0;pid_106987:1.0;pid_12886:1.0;pid_12889:1.0;pid_24675:1.0	None
pid_107442	alpha8/beta1-Integrin/Vitronectin	None	integral-to-membrane	pid_12886;pid_60222;pid_71336	pid_12886:1.0;pid_60222:1.0;pid_71336:1.0	None
