#id	name	altIDs	elementtype	features	cellularLocation	evidence
pid_100140	HES1	UniProt:Q14469	protein	None	nucleus	None
pid_100167	PARP1	UniProt:P09874	protein	None	None	None
pid_100411	Myb	UniProt:P10242	protein	None	None	None
pid_100424	MYOD	UniProt:P15172	protein	None	None	None
pid_100427	TCF3	UniProt:P15923	protein	None	None	None
pid_100434	MYOD	UniProt:P15172	protein	inactivating-residue-modification	None	None
pid_100448	RB1	UniProt:P06400	protein	None	nucleus	None
pid_100453	RUNX2	UniProt:Q13950	protein	None	None	None
pid_100512	RUNX2	UniProt:Q13950	protein	inactivating-residue-modification	None	None
pid_100540	E2F1	UniProt:Q01094	protein	None	nucleus	None
pid_100547	Myb	UniProt:P10242	protein	None	nucleus	None
pid_100594	Osteocalcin	UniProt:P02818	protein	None	None	None
pid_102143	PLC-beta-2	UniProt:Q00722	protein	activating-residue-modification	plasma-membrane	None
pid_102180	PAR4-active	UniProt:Q96RI0	protein	activating-residue-modification;Fragment:48-385	integral-to-membrane	None
pid_102186	PAR4-active	UniProt:Q96RI0	protein	Fragment:48-385;inactivating-residue-modification	early-endosome	None
pid_102203	Par3;PAR3	UniProt:O00254	protein	None	integral-to-membrane	None
pid_102231	PAR4	UniProt:Q96RI0	protein	None	integral-to-membrane	None
pid_102233	PAR4-propeptide	UniProt:Q96RI0	protein	Fragment:18-47	integral-to-membrane	None
pid_102287	CEBPB	UniProt:P17676	protein	[phosphorylated-residue]@null;activating-residue-modification	None	None
pid_102296	Hsp27	UniProt:P04792	protein	None	None	None
pid_102299	Hsp27	UniProt:P04792	protein	[O-phospho-L-serine]@15;[O-phospho-L-serine]@78;[O-phospho-L-serine]@82;activating-residue-modification	None	None
pid_102307	PRAK	UniProt:Q8IW41	protein	[O-phospho-L-threonine]@182;activating-residue-modification	None	None
pid_102316	ER-alpha	UniProt:P03372	protein	[O-phospho-L-threonine]@311;activating-residue-modification	nucleus	None
pid_102326	ATF2	UniProt:P15336	protein	[O-phospho-L-threonine]@69;[O-phospho-L-threonine]@71;activating-residue-modification	None	None
pid_102335	c-Jun	UniProt:P05412	protein	None	nucleus	None
pid_102339	c-Jun	UniProt:P05412	protein	[O-phospho-L-serine]@63;[O-phospho-L-serine]@73	None	None
pid_102346	KRT8	UniProt:P05787	protein	None	None	None
pid_102349	KRT8	UniProt:P05787	protein	[O4'-phospho-L-tyrosine]@null;activating-residue-modification	None	None
pid_102359	HBP1	UniProt:O60381	protein	[O-phospho-L-serine]@402	None	None
pid_102372	CREB1	UniProt:P16220	protein	[O-phospho-L-serine]@133;activating-residue-modification	nucleus	None
pid_102376	MSK1-2	None	protein	activating-residue-modification	None	None
pid_102383	MSK1	UniProt:O75582	protein	None	None	None
pid_102391	SAP1	UniProt:P28324	protein	None	None	None
pid_102394	SAP1	UniProt:P28324	protein	[O-phospho-L-serine]@381;[O-phospho-L-serine]@387;activating-residue-modification	None	None
pid_102407	MAPKAPK2	UniProt:P49137	protein	[O-phospho-L-serine]@272;[O-phospho-L-threonine]@222;[O-phospho-L-threonine]@25;[O-phospho-L-threonine]@334;[O-phospho-L-threonine]@338	None	None
pid_102426	MAPKAPK3	UniProt:Q16644	protein	None	None	None
pid_102430	MAPKAPK3	UniProt:Q16644	protein	[O-phospho-L-serine]@251;[O-phospho-L-threonine]@201;[O-phospho-L-threonine]@313;[O-phospho-L-threonine]@317	None	None
pid_102446	PGC1	UniProt:Q9UBK2	protein	None	None	None
pid_102448	PGC1	UniProt:Q9UBK2	protein	[O-phospho-L-serine]@266;[O-phospho-L-threonine]@263;[O-phospho-L-threonine]@299;activating-residue-modification	None	None
pid_102462	MNK1	UniProt:Q9BUB5	protein	None	None	None
pid_102466	MNK1	UniProt:Q9BUB5	protein	[O-phospho-L-threonine]@250;[O-phospho-L-threonine]@255	None	None
pid_102488	GDI1	UniProt:P31150	protein	[O-phospho-L-serine]@121;activating-residue-modification	None	None
pid_102497	GDI1	UniProt:P31150	protein	[O-phospho-L-serine]@121	None	None
pid_102508	eIF4E	UniProt:P06730	protein	[O-phospho-L-serine]@209;activating-residue-modification	None	None
pid_102516	cPLA2-alpha	UniProt:P47712	protein	None	None	None
pid_102518	cPLA2-alpha	UniProt:P47712	protein	[O-phospho-L-serine]@505;[O-phospho-L-serine]@727;activating-residue-modification	None	None
pid_102531	MSK1-2	None	protein	None	None	None
pid_102540	p53	UniProt:P04637	protein	[O-phospho-L-serine]@392;activating-residue-modification	None	None
pid_102548	c-Jun	UniProt:P05412	protein	[O-phospho-L-serine]@63;[O-phospho-L-serine]@73;activating-residue-modification	nucleus	None
pid_102568	USF1	UniProt:P22415	protein	None	None	None
pid_102571	USF1	UniProt:P22415	protein	[O-phospho-L-threonine]@153;activating-residue-modification	None	None
pid_102581	PRAK	UniProt:Q8IW41	protein	None	None	None
pid_102587	KRT19	UniProt:P08727	protein	None	None	None
pid_102590	KRT19	UniProt:P08727	protein	[O4'-phospho-L-tyrosine]@null;activating-residue-modification	None	None
pid_102598	GDI1	UniProt:P31150	protein	None	None	None
pid_102604	4E-BP1	UniProt:Q13541	protein	[O-phospho-L-serine]@65;[O-phospho-L-threonine]@37;[O-phospho-L-threonine]@46;[O-phospho-L-threonine]@70;activating-residue-modification	None	None
pid_102614	ATF6	UniProt:P18850	protein	None	None	None
pid_102616	ATF6	UniProt:P18850	protein	[phosphorylated-residue]@null;activating-residue-modification	None	None
pid_102636	CHOP	UniProt:P35638	protein	[O-phospho-L-serine]@78;[O-phospho-L-serine]@81;activating-residue-modification	None	None
pid_102646	MEF2C	UniProt:Q06413	protein	None	nucleus	None
pid_102647	MEF2C	UniProt:Q06413	protein	[O-phospho-L-serine]@287;[O-phospho-L-threonine]@293;[O-phospho-L-threonine]@300;activating-residue-modification	nucleus	None
pid_102659	NHE1	UniProt:P19634	protein	[O-phospho-L-serine]@723;[O-phospho-L-serine]@726;[O-phospho-L-serine]@729;[O-phospho-L-threonine]@718;activating-residue-modification	None	None
pid_102674	MITF	UniProt:O75030	protein	[O-phospho-L-serine]@414;activating-residue-modification	None	None
pid_102684	ATF1	UniProt:P18846	protein	None	None	None
pid_102686	ATF1	UniProt:P18846	protein	[O-phospho-L-serine]@63;activating-residue-modification	None	None
pid_102694	MEF2A	UniProt:Q02078	protein	None	None	None
pid_102697	MEF2A	UniProt:Q02078	protein	[O-phospho-L-threonine]@312;[O-phospho-L-threonine]@319;activating-residue-modification	None	None
pid_103109	MKLP1	UniProt:Q02241	protein	None	None	None
pid_103112	MgcRacGAP	UniProt:Q9H0H5	protein	None	midbody	None
pid_103120	MKLP1	UniProt:Q02241	protein	[O-phospho-L-serine]@708	spindle	None
pid_103124	MgcRacGAP	UniProt:Q9H0H5	protein	[O-phospho-L-serine]@387	midbody	None
pid_103133	Aurora-B	UniProt:Q96GD4	protein	[O-phospho-L-threonine]@234	None	None
pid_103135	Borealin	UniProt:Q53HL2	protein	[O-phospho-L-serine]@275;[O-phospho-L-threonine]@278	None	None
pid_103140	Survivin	UniProt:O15392	protein	[O-phospho-L-threonine]@117	None	None
pid_103142	INCENP	UniProt:Q9NQS7	protein	[O-phospho-L-serine]@898;[O-phospho-L-serine]@899;[O-phospho-L-threonine]@897	None	None
pid_103178	NSUN2	UniProt:Q08J23	protein	None	None	None
pid_103184	NSUN2	UniProt:Q08J23	protein	[O-phospho-L-serine]@139;inactivating-residue-modification	None	None
pid_103207	Desmin	UniProt:P17661	protein	[O-phospho-L-serine]@11;[O-phospho-L-serine]@59	cleavage-furrow	None
pid_103224	MLCK	UniProt:Q15746	protein	None	None	None
pid_103226	MLCK	UniProt:Q15746	protein	[O-phospho-L-serine]@null	None	None
pid_103235	Septin1	UniProt:Q8WYJ6	protein	None	midbody	None
pid_103238	Aurora-B	UniProt:Q96GD4	protein	None	midbody	None
pid_103240	Septin1	UniProt:Q8WYJ6	protein	[O-phospho-L-serine]@248;[O-phospho-L-serine]@307;[O-phospho-L-serine]@315	None	None
pid_103272	RKIP	UniProt:P30086	protein	[O-phospho-L-serine]@153	None	None
pid_103287	INCENP	UniProt:Q9NQS7	protein	None	None	None
pid_103288	Borealin	UniProt:Q53HL2	protein	None	None	None
pid_103308	Aurora-B	UniProt:Q96GD4	protein	[O-phospho-L-threonine]@234;[ubiquitinylated-lysine]@null	None	None
pid_103310	HC8-Proteasome-subunit-alpha	UniProt:P25788	protein	None	None	None
pid_103319	Condensin-complex-subunit-3	UniProt:Q9BPX3	protein	None	None	None
pid_103322	SMC2	UniProt:O95347	protein	None	None	None
pid_103325	Condensin-complex-subunit-1	UniProt:Q15021	protein	None	None	None
pid_103328	SMC4	UniProt:Q9NTJ3	protein	None	None	None
pid_103331	Condensin-complex-subunit-2	UniProt:Q15003	protein	None	None	None
pid_103340	Condensin-complex-subunit-3	UniProt:Q9BPX3	protein	[O-phospho-L-serine]@null	None	None
pid_103342	Condensin-complex-subunit-1	UniProt:Q15021	protein	[O-phospho-L-serine]@null	None	None
pid_103344	Condensin-complex-subunit-2	UniProt:Q15003	protein	[O-phospho-L-serine]@null	None	None
pid_103359	KLHL9	UniProt:Q9P2J3	protein	None	None	None
pid_103362	KLHL13	UniProt:Q9P2N7	protein	None	None	None
pid_103379	hSgo1	UniProt:Q5FBB7	protein	None	None	None
pid_103395	EVI5	UniProt:O60447	protein	None	None	None
pid_103399	EVI5	UniProt:O60447	protein	[phosphorylated-residue]@null	None	None
pid_103436	MCAK	UniProt:Q99661	protein	None	None	None
