root: pid_26307
size of bconnected set: 23

Target	Time (seconds)
pid_104814	[0.3460960388183594]
pid_26901	[0.22925949096679688]
pid_26868	[0.2506752014160156]
pid_80083	[0.4918203353881836]
pid_9317	[0.34601783752441406]
pid_26270	[0.45151615142822266]
pid_8546	[0.34781360626220703]
pid_26307	[0.008455276489257812]
pid_26635	[0.2798900604248047]
pid_26637	[0.27545738220214844]
pid_26884	[0.2810382843017578]
pid_88626	[0.33585548400878906]
pid_26794	[0.4931783676147461]
pid_26697	[0.26569271087646484]
pid_26313	[1.3581600189208984]
pid_26317	[0.23493480682373047]
pid_26722	[0.32022571563720703]
pid_26645	[0.2751340866088867]
pid_26624	[0.29390621185302734]
pid_26211	[0.3201570510864258]
pid_26481	[0.2968940734863281]
pid_80123	[0.489166259765625]
pid_26255	[0.3195619583129883]


###########################################
SUMMARY
###########################################
min: 0.00845527648926	 max: 1.35816001892	 median: 0.319561958313	 mean: 0.361343756966
