root: pid_48142
size of bconnected set: 80

Target	Time (seconds)
pid_83246	[0.6967573165893555]
pid_83366	[0.6966552734375]
pid_83200	[0.6967372894287109]
pid_83072	[0.6967372894287109]
pid_83347	[0.6967372894287109]
pid_83041	[0.7031087875366211]
pid_83341	[0.6966571807861328]
pid_83263	[0.6967372894287109]
pid_118685	[0.7060985565185547]
pid_83122	[0.6967573165893555]
pid_170635	[0.7050495147705078]
pid_82989	[0.6961164474487305]
pid_38554	[0.6967372894287109]
pid_83323	[0.6967372894287109]
pid_48187	[0.9103670120239258]
pid_5503	[0.6962146759033203]
pid_82982	[0.6967372894287109]
pid_39202	[0.6962156295776367]
pid_48161	[0.6898174285888672]
pid_84295	[0.7115459442138672]
pid_91039	[0.6495800018310547]
pid_83214	[0.6967372894287109]
pid_48145	[0.7726297378540039]
pid_48142	[0.02281665802001953]
pid_82889	[0.6967573165893555]
pid_170477	[0.7116184234619141]
pid_102540	[0.707423210144043]
pid_82967	[0.6966571807861328]
pid_82928	[0.6967573165893555]
pid_90855	[0.6353788375854492]
pid_82906	[0.6967573165893555]
pid_82961	[0.6967573165893555]
pid_90858	[0.6425571441650391]
pid_22395	[0.7725639343261719]
pid_83050	[0.6967372894287109]
pid_102508	[0.7050504684448242]
pid_128300	[0.7050237655639648]
pid_5536	[1.9635295867919922]
pid_24885	[0.6961879730224609]
pid_83139	[0.6967372894287109]
pid_83330	[0.6967372894287109]
pid_6610	[0.6294126510620117]
pid_83271	[0.6967372894287109]
pid_92356	[0.7076511383056641]
pid_50575	[0.7075214385986328]
pid_83157	[0.6967372894287109]
pid_83313	[0.6967372894287109]
pid_48179	[0.7042179107666016]
pid_82868	[0.6967372894287109]
pid_82792	[0.6857204437255859]
pid_73607	[0.6967372894287109]
pid_83029	[0.6967573165893555]
pid_83178	[0.6967372894287109]
pid_83290	[0.6967573165893555]
pid_83190	[0.6967372894287109]
pid_82825	[0.6967554092407227]
pid_73404	[0.7094259262084961]
pid_83005	[0.6967573165893555]
pid_82996	[0.6967372894287109]
pid_6613	[0.7074260711669922]
pid_90969	[0.640986442565918]
pid_83299	[0.6967573165893555]
pid_82953	[0.6967573165893555]
pid_82875	[0.6967372894287109]
pid_82898	[0.6967573165893555]
pid_16520	[0.697087287902832]
pid_38931	[0.6967573165893555]
pid_110578	[0.7101640701293945]
pid_82934	[0.6967573165893555]
pid_82976	[0.6967554092407227]
pid_82852	[0.6938400268554688]
pid_48385	[0.6967372894287109]
pid_170487	[0.7046289443969727]
pid_7762	[0.6967372894287109]
pid_90928	[0.6412286758422852]
pid_73959	[0.6967372894287109]
pid_82913	[0.6967372894287109]
pid_15964	[0.6967372894287109]
pid_83099	[0.6966772079467773]
pid_82859	[0.6967372894287109]


###########################################
SUMMARY
###########################################
min: 0.02281665802	 max: 1.96352958679	 median: 0.696737289429	 mean: 0.706101679802
