root: Complex842
size of bconnected set: 57

Target	Time (seconds)
Complex821	[1.416886329650879]
Rna10	[2.7548294067382812]
Protein1690	[1.1878328323364258]
Complex825	[1.5438899993896484]
SmallMolecule13	None
Complex827	[1.6900634765625]
Rna7	[2.7489843368530273]
Protein152	None
Protein151	None
Protein11406	[3.1596574783325195]
Complex842	[0.016798973083496094]
Complex989	[0.8960113525390625]
Protein14113	[3.1604814529418945]
Protein19214	None
Complex986	[0.8086233139038086]
Complex985	[0.702458381652832]
Complex849	[0.8960142135620117]
Complex983	[0.8961639404296875]
Complex981	[0.8824825286865234]
Complex980	[0.8691816329956055]
Protein1908	[0.8786458969116211]
Protein1909	[0.893467903137207]
Complex65	[3.369462013244629]
Complex984	[0.6989097595214844]
Protein1907	[0.8731822967529297]
Complex9506	[3.2065181732177734]
Protein135	[3.3720169067382812]
Protein1902	[0.6918792724609375]
Protein1727	[0.8958730697631836]
Protein1709	[1.4146451950073242]
Protein11396	None
Complex9432	[3.157573699951172]
Complex837	[1.970956802368164]
Complex67	[3.1474523544311523]
Protein125	[3.371026039123535]
Complex41	[3.4183731079101562]
Complex819	[1.2935667037963867]
Complex832	[1.829024314880371]
PhysicalEntity71	[0.8964109420776367]
Complex66	[3.3542861938476562]
Protein20631	[3.418292999267578]
Protein8	[3.428433418273926]
Complex813	[1.1850576400756836]
Protein19135	None
Protein19134	None
PhysicalEntity53	[3.4183759689331055]
Complex990	[0.9565649032592773]
Protein13631	[3.4183731079101562]
Complex994	[1.0541019439697266]
Protein14108	None
Protein1862	[0.8090238571166992]
Protein1717	[0.8964624404907227]
Protein1716	[0.896519660949707]
Protein1719	[0.8965749740600586]
Protein1718	[0.8966302871704102]
Protein19213	None
Protein1910	[0.8959379196166992]


###########################################
SUMMARY
###########################################
min: 0.0167989730835	 max: 3.42843341827	 median: 1.18644523621	 mean: 1.76112457116
