Complex10;Protein23	Complex1
Complex37	Complex36;Protein48
Complex207	Complex194;Protein496
Protein3071	Dna31
Complex1420	Complex1414;Dna32
Protein3072	Dna32
Complex1421	Protein3072;Protein3073
Complex1422	Complex1416;Dna33
Protein3074	Dna33
Complex1423	Complex1414;Dna34
Protein3075	Dna34
Complex1424	Complex1416;Dna35
Protein3076	Dna35
Complex208;SmallMolecule19	Complex207;SmallMolecule13
Complex1425	Complex1414;Dna36
Protein3077	Dna36
Complex1426	Complex1414;Dna37;Protein991
Protein3078	Dna37
Complex1428	Complex1427;Dna38
Protein3080	Dna38
Complex1429	Dna38;Protein2690
Protein3081;SmallMolecule4	Protein2690;SmallMolecule2
Complex1430	Complex1414;Dna39
Protein3083	Dna39
Complex209	Complex203;Complex208
Complex1431	Protein3078;Protein3083
Complex1432	Complex1414;Dna40
Protein3084	Dna40
Complex1433	Protein3084;Protein3085
SmallMolecule508	SmallMolecule507
Complex1434	Complex1414;Dna41
Protein3088	Dna41
Complex1435	Complex1414;Dna42
Protein3089	Dna42
Complex1436	Complex1414;Dna43
Complex206;SmallMolecule39	Complex205;SmallMolecule40
Protein3090	Dna43
Complex1437	Complex1414;Dna44
Protein3091	Dna44
Protein3092;SmallMolecule4	Protein3091;SmallMolecule2
Protein3093	Protein3092
Complex1438	Protein3093;Protein3094
Complex1439	Complex1438;Protein3095
Complex1438;Protein3096;Protein3097	Complex1439
Complex1440	Complex1414;Dna45
Protein3098	Dna45
Complex211	Complex194;Complex210
Complex1441	Complex1417;Dna46
Protein3099	Dna46
Complex1442	Complex1414;Dna47
Protein3100	Dna47
Complex1443	Complex1414;Dna48
Protein3101	Dna48
Complex1444	Complex1414;Dna49
Protein3102	Dna49
Complex1445	Complex1414;Dna50
Protein3103	Dna50
Complex212	Complex211;Protein500
Complex1446	Complex1414;Dna51
Protein3104	Dna51
Complex1447	Complex1416;Dna52
Protein3105	Dna52
Complex1448	Protein3105
SmallMolecule365;SmallMolecule510	SmallMolecule104;SmallMolecule28;SmallMolecule509
SmallMolecule451;SmallMolecule509	SmallMolecule293;SmallMolecule510
Complex1449	Complex1414;Dna53
Protein3106	Dna53
SmallMolecule19;SmallMolecule42	SmallMolecule13;SmallMolecule41
Complex1452	Complex1414;Dna55
Protein3108	Dna55
Complex1453	Protein3108;Protein3109
