#id	controllingElements	controlledElements	controlType	catalysisdir	evidence	xref
pid_102146	pid_33615	pid_102142	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:12716374;Pubmed:12869501
pid_102155	pid_28446	pid_102152	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102161	pid_33486	pid_102158	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102167	pid_11799	pid_102164	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12716374;Pubmed:12869501;Pubmed:9716134
pid_102176	pid_102143	pid_102172	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12716374;Pubmed:12869501;Pubmed:9618465
pid_102192	pid_33467	pid_33804	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:10079109;Pubmed:14528298;Pubmed:9716134
pid_102199	pid_33699	pid_102194	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102218	pid_102180	pid_102212	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12869501;Pubmed:8290554
pid_102227	pid_102180	pid_102221	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14528298;Pubmed:8290554
pid_102240	pid_102241	pid_102230	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12869501;Pubmed:9618465;Pubmed:9716134
pid_102242	pid_102204	pid_102230	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12869501;Pubmed:9618465;Pubmed:9716134
pid_102245	pid_33467	pid_33586	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102291	pid_13890	pid_102286	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9822687
