#id	E	F	R	interactionType	E&Fstoichiometry	spontaneous	conversiondirection	evidence	xref
pid_102142	pid_33608	pid_102143	pid_102146	BiochemicalReaction	pid_102143:1.0;pid_33608:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:12716374;Pubmed:12869501
pid_102152	pid_33831	pid_33486	pid_102155	BiochemicalReaction	pid_33486:1.0;pid_33831:1.0	null	None	inferred-from-genetic-interaction:ECO:0000011;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102158	pid_33480	pid_33467	pid_102161	BiochemicalReaction	pid_33467:1.0;pid_33480:1.0	null	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102164	pid_9316	pid_9317	None	Transport	pid_9316:1.0;pid_9317:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12716374;Pubmed:12869501;Pubmed:9716134
pid_102172	pid_3464	pid_11799;pid_33937	pid_102176	BiochemicalReaction	pid_11799:1.0;pid_33937:1.0;pid_3464:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12716374;Pubmed:12869501;Pubmed:9618465
pid_102179	pid_102180	pid_102186	None	BiochemicalReaction	pid_102180:1.0;pid_102186:1.0	true	None	inferred-from-direct-assay:ECO:0000002	Pubmed:10779527;Pubmed:10837487
pid_102194	pid_28443;pid_3114	pid_28446;pid_3119	pid_102199	BiochemicalReaction	pid_28443:1.0;pid_28446:1.0;pid_3114:1.0;pid_3119:1.0	null	None	inferred-from-genetic-interaction:ECO:0000011;inferred-from-sequence-orthology:ECO:00000060	Pubmed:14528298
pid_102202	pid_102203;pid_24939	pid_102204	None	ComplexAssembly	pid_102203:1.0;pid_102204:1.0;pid_24939:1.0	true	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10766244
pid_102212	pid_3114;pid_33965	pid_3119;pid_33615;pid_33703	pid_102218	ComplexAssembly	pid_3114:1.0;pid_3119:1.0;pid_33615:1.0;pid_33703:1.0;pid_33965:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:10766244;Pubmed:10779527;Pubmed:10820018;Pubmed:12869501;Pubmed:8290554
pid_102221	pid_3114;pid_33689	pid_3119;pid_33699;pid_33703	pid_102227	ComplexAssembly	pid_3114:1.0;pid_3119:1.0;pid_33689:1.0;pid_33699:1.0;pid_33703:1.0	null	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:14528298;Pubmed:8290554
