#id	name	xref
pid_102241	Biphasic-Pattern	None
pid_103203	cytokinesis	GO:GO:0000910
pid_103504	mitotic-metaphase/anaphase-transition	GO:GO:0007091
pid_10409	cell-survival	None
pid_10424	cell-proliferation	GO:GO:0008283
pid_104497	regulation-of-synapse-organization	GO:GO:0050807
pid_104562	synaptic-vesicle-fusion-to-presynaptic-membrane	GO:GO:0031629
pid_104571	cortical-microtubule-organization	GO:GO:0043622
pid_104585	regulation-of-short-term-neuronal-synaptic-plasticity	GO:GO:0048172
pid_104678	regulation-of-synaptic-plasticity	GO:GO:0048167
pid_104722	gap-junction-assembly	GO:GO:0016264
pid_104735	microtubule-plus-end-binding	GO:GO:0051010
pid_104758	myoblast-differentiation	GO:GO:0045445
pid_104770	protein-transport-into-membrane-raft	GO:GO:0032596
pid_104775	long-term-synaptic-potentiation	GO:GO:0060291
pid_104783	osteoblast-differentiation	GO:GO:0001649
pid_104854	cardiac-muscle-tissue-morphogenesis	GO:GO:0055008
pid_104900	microtubule-binding	GO:GO:0008017
pid_104917	calcium-channel-activity	GO:GO:0005262
pid_105726	regulation-of-interleukin-6-production	GO:GO:0032675
pid_105746	Macrophage	None
pid_105752	regulation-of-cell-adhesion	GO:GO:0030155
pid_105767	regulation-of-tumor-necrosis-factor-production	GO:GO:0032680
pid_105805	regulation-of-interleukin-10-production	GO:GO:0032653
pid_105851	necrotic-cell-death	GO:GO:0070265
pid_105890	mRNA-binding	GO:GO:0003729
pid_105894	respiratory-burst-involved-in-inflammatory-response	GO:GO:0002536
pid_105902	regulation-of-interleukin-1-beta-production	GO:GO:0032651
pid_105919	regulation-of-granulocyte-colony-stimulating-factor-production	GO:GO:0071655
pid_105957	cytokine-production-involved-in-inflammatory-response	GO:GO:0002534
pid_105973	regulation-of-apoptosis	GO:GO:0042981
pid_105977	Cardiomyocyte	None
pid_106009	Enterocyte	None
pid_106012	regulation-of-B-cell-proliferation	GO:GO:0030888
pid_106110	regulation-of-chemokine-production	GO:GO:0032642
pid_106122	regulation-of-cell-proliferation	GO:GO:0042127
pid_106191	regulation-of-T-cell-proliferation	GO:GO:0042129
pid_106209	regulation-of-type-I-interferon-production	GO:GO:0032479
pid_106220	regulation-of-interleukin-8-production	GO:GO:0032677
pid_108997	lymphangiogenesis	GO:GO:0001946
pid_109989	germ-cell-development	GO:GO:0007281
pid_110039	oxygen-homeostasis	GO:GO:0032364
pid_110245	DNA-biosynthetic-process	GO:GO:0071897
pid_110251	microtubule-cytoskeleton-organization	GO:GO:0000226
pid_110317	centrosome-localization	GO:GO:0051642
pid_110578	anoikis	GO:GO:0043276
pid_110633	Wnt-receptor-signaling-pathway	GO:GO:0016055
pid_112201	activation-of-MAPKK-activity	GO:GO:0000186
pid_112375	neurite-development	GO:GO:0031175
pid_113559	regulation-of-mRNA-stability	GO:GO:0043488
pid_11379	endocytosis	GO:GO:0006897
pid_113914	protein-serine/threonine-phosphatase-activity	GO:GO:0004722
pid_116667	growth-factor-activity	GO:GO:0008083
pid_117586	regulation-of-calcium-ion-transport-via-voltage-gated-calcium-channel-activity	GO:GO:0051925
pid_117606	vasopressin-secretion	GO:GO:0030103
pid_117622	glutamate-secretion	GO:GO:0014047
pid_117643	adrenocorticotropin-secretion	GO:GO:0051458
pid_118438	ATP-biosynthetic-process	GO:GO:0006754
pid_118454	tubulin-complex-assembly	GO:GO:0007021
pid_118460	positive-regulation-of-CREB-transcription-factor-activity	GO:GO:0032793
pid_118644	cellular-response-to-nutrient-levels	GO:GO:0031669
pid_118723	ATP-metabolic-process	GO:GO:0046034
pid_120385	absorption-of-UV-light	GO:GO:0016039
pid_120514	chromatin-modification	GO:GO:0016568
pid_120545	histone-modification	GO:GO:0016570
pid_121085	embryonic-digit-morphogenesis	GO:GO:0042733
pid_121103	kidney-development	GO:GO:0001822
pid_121358	monocyte-differentiation	GO:GO:0030224
pid_121374	CD4-positive-alpha-beta-T-cell-lineage-commitment	GO:GO:0043373
pid_121397	positive-regulation-of-mast-cell-cytokine-production	GO:GO:0032765
pid_121412	cytokine-production-during-immune-response	GO:GO:0002367
pid_121421	mast-cell-activation	GO:GO:0045576
