#Tail	Head	PosReg	NegReg	ID
None	pid_12768	pid_12804	None	pid_013008
pid_5591	pid_12292	pid_9317;pid_71350	None	pid_71345
pid_135352;pid_22846	pid_135356	None	None	pid_135351
None	pid_27860	pid_39616	None	pid_039615
pid_8672	pid_50648	pid_32947	None	pid_125898
pid_45300	pid_125791	pid_8633	None	pid_125891
None	pid_55616	pid_55782;pid_55621;pid_55618;pid_55797;pid_55785	None	pid_55779
None	pid_24683	pid_24686	None	pid_024685
pid_25011	pid_24893	pid_119687	pid_21854	pid_119683
None	pid_92277	pid_153329	None	pid_0153328
None	pid_53620	pid_122821	None	pid_0123125
pid_18249;pid_18899;pid_74522	pid_18902;pid_74527	None	None	pid_74643
pid_27974;pid_3114	pid_28446;pid_3119	pid_118889	None	pid_118883
pid_165127	pid_165129	pid_165134	None	pid_165126
None	pid_92277	pid_153204	None	pid_0153322
pid_9871	pid_9793	pid_3110	None	pid_160756
None	pid_98325	pid_98493	None	pid_99126
pid_36178	pid_24629	pid_64116	None	pid_64210
pid_100547;pid_169341;pid_83106	pid_169344	None	None	pid_169340
pid_25011	pid_24893	pid_64116	None	pid_64216
None	pid_161551	pid_161560	None	pid_0161559
None	pid_92277	pid_153032	None	pid_0153325
pid_14216	pid_14145	pid_161349	None	pid_161599
pid_143072;pid_34638	pid_143204	None	None	pid_143203
None	pid_84579	pid_90165;pid_122140;pid_84583	pid_74196	pid_165870
pid_173985;pid_49428	pid_173959	None	pid_174298	pid_174293
pid_97838	pid_97825;pid_97979	pid_77640	None	pid_97978
pid_165691;pid_79649	pid_165700	None	None	pid_165699
pid_80715	pid_80718	pid_13871	None	pid_80714
pid_112217;pid_9148;pid_9337	pid_134409	None	None	pid_134408
pid_3114;pid_31631	pid_3119;pid_31870	pid_31919	None	pid_32094
pid_7523	pid_102287	pid_13890	None	pid_102286
pid_107441;pid_60189	pid_125404	None	None	pid_125403
pid_37952;pid_45936	pid_37951	None	None	pid_46031
pid_56043	pid_56050	pid_56062	None	pid_56042
pid_46038	pid_37751;pid_45910;pid_46039	None	None	pid_46037
pid_22007;pid_70592	pid_70832	None	None	pid_70831
pid_21630;pid_22097	pid_21629	None	pid_21808	pid_22096
pid_84040;pid_84417	pid_84419	pid_7404	None	pid_84416
pid_29013	pid_29014	pid_28965	pid_29008	pid_29012
None	pid_13887	pid_33467	None	pid_033466
None	pid_82844	pid_44102;pid_48161	None	pid_82843
pid_8548;pid_9317	pid_18429	None	None	pid_18490
None	pid_16382	pid_16386	None	pid_16381
None	pid_16880	pid_114370	None	pid_0114369
pid_9413	pid_31152	pid_109078	None	pid_109074
pid_33455	pid_33457	pid_9379;pid_9317	None	pid_33454
pid_26307	pid_26270;pid_26313;pid_26481	pid_26984	None	pid_26978
pid_153602;pid_153606	pid_153607	None	None	pid_153601
pid_29337;pid_57763	pid_58070	None	None	pid_58069
pid_88769	pid_88656	None	None	pid_88768
pid_107237;pid_40410	pid_107544	None	None	pid_107543
pid_12552	pid_96499	pid_30697	None	pid_96498
pid_107017;pid_60252	pid_107022	None	None	pid_107016
pid_39146	pid_96493	pid_96288	None	pid_96492
pid_18249;pid_18275	pid_18282	None	None	pid_18274
None	pid_73959	pid_72906	pid_73150	pid_73958
None	pid_32921	pid_45300	pid_45195	pid_45608
None	pid_121085	pid_149306	None	pid_0149483
None	pid_6610	pid_72906;pid_49627	None	pid_73874
pid_66913	pid_67029	pid_9117	None	pid_67028
None	pid_16569	pid_15974;pid_15968	None	pid_16568
pid_114698;pid_3114	pid_113863;pid_3119	pid_24952	None	pid_114697
None	pid_28943	pid_86175	None	pid_086174
pid_5709	pid_67023	pid_66875	None	pid_67022
None	pid_28943	pid_86047	None	pid_086173
None	pid_16561	pid_16386	None	pid_16560
pid_112007;pid_22007;pid_5721	pid_112332;pid_112337	None	None	pid_112331
None	pid_18873	pid_18188	None	pid_18872
None	pid_38924	pid_4936	None	pid_038925
pid_112067;pid_9465	pid_112172	None	None	pid_112485
pid_18594	pid_18734	pid_18475	None	pid_18879
pid_5470	pid_5473	pid_4772	None	pid_5469
pid_56378;pid_9101	pid_56284	None	None	pid_56450
pid_12098	pid_26834	pid_39687	None	pid_39683
pid_56284;pid_56459	pid_56415	None	None	pid_56458
None	pid_82164	pid_64566	None	pid_141783
None	pid_137041	pid_147848	None	pid_148001
pid_145565;pid_99348	pid_99549	None	None	pid_145564
pid_79768	pid_25011;pid_79773	pid_79778	None	pid_79767
None	pid_24885	pid_147848	pid_147959	pid_148008
pid_159388	pid_159197	pid_33538	None	pid_159387
pid_63294	pid_63200	pid_13893	None	pid_63293
None	pid_14037	None	pid_13867	pid_086391
pid_171512	pid_171518	pid_171529	None	pid_171511
pid_9101	pid_174038	pid_173900	None	pid_174037
pid_112151	pid_106563	pid_112157	None	pid_112150
pid_39423;pid_9247	pid_39392	None	None	pid_39422
pid_86013	pid_86014	pid_30778;pid_86019	None	pid_86012
None	pid_83005	pid_48161	None	pid_83004
None	pid_73253	pid_917;pid_72906	None	pid_73252
pid_30706;pid_60221	pid_106920	None	None	pid_106919
pid_154734	pid_154728	pid_26307	None	pid_154733
None	pid_28943	pid_172996	None	pid_0172995
None	pid_95248	pid_59573;pid_94850	None	pid_95247
None	pid_4656	pid_50583	None	pid_058446
pid_26325;pid_47972	pid_47975	None	None	pid_47971
None	pid_12768	pid_12781	None	pid_012780
None	pid_42290	pid_146147	None	pid_146145
pid_40369	pid_47609	pid_47514	None	pid_47608
pid_123746;pid_123949	pid_123954	None	None	pid_123948
pid_14216	pid_14145	pid_56070	None	pid_114271
pid_21541;pid_61741	pid_61746	None	None	pid_61740
pid_14105	pid_13890	pid_13871	None	pid_14127
pid_12013	pid_3125;pid_47482	pid_114085	None	pid_114275
pid_30944	pid_30749	pid_39543;pid_132382;pid_132380	pid_132333	pid_132375
pid_9235;pid_9246	pid_9259	None	None	pid_9234
pid_27974;pid_3114	pid_28446;pid_3119	pid_119382	None	pid_119376
pid_48888;pid_49093	pid_49111	None	None	pid_49110
None	pid_13887	pid_36236	None	pid_036607
None	pid_84579	pid_84583	pid_165558	pid_165555
None	pid_33090	pid_114040	None	pid_114416
pid_21285;pid_61368	pid_61485	None	None	pid_61561
pid_16250;pid_170723	pid_170752	None	None	pid_170848
None	pid_61538	pid_61368	None	pid_61568
pid_34231;pid_60149	pid_127061	None	None	pid_127060
None	pid_13887	None	pid_114251	pid_0114962
pid_4893;pid_55237	pid_110886	None	None	pid_110885
None	pid_5529	pid_122487;pid_62956	pid_122118	pid_122549
pid_9743	pid_9586	pid_30776	None	pid_30953
pid_30944	pid_30749	pid_18625	None	pid_30959
pid_93915;pid_94105	pid_94522	pid_28349	None	pid_94521
pid_4928	pid_4936	pid_14444	None	pid_167220
pid_29337;pid_60154	pid_99337	None	None	pid_99336
pid_36473	pid_167732	pid_167578	None	pid_167731
pid_25011;pid_3114	pid_24893;pid_3119	pid_55782;pid_70181	None	pid_125795
pid_9493	pid_9496	pid_9116	None	pid_9492
pid_106903;pid_107074	pid_107277	None	None	pid_167739
pid_9802	pid_11799;pid_9379	pid_81102	None	pid_81097
pid_30944	pid_9571	pid_4936	None	pid_119761
None	pid_24471	None	pid_24299	pid_024473
pid_22710	pid_22716	None	None	pid_22709
None	pid_5603	pid_16504	None	pid_0174100
pid_131119	pid_131121	pid_4936	None	pid_131118
pid_74982;pid_74987	pid_74990	None	None	pid_74981
pid_109971;pid_110035	pid_109895	None	None	pid_110084
pid_143261	pid_143432;pid_143434	pid_31082	None	pid_143431
pid_107040;pid_59172	pid_164413	None	None	pid_164438
pid_7422;pid_8020	pid_8023	None	None	pid_8019
pid_153108;pid_153330	pid_153329	None	None	pid_153385
None	pid_14984	pid_109895	None	pid_110089
None	pid_73725	pid_917;pid_72906	None	pid_73724
None	pid_98544	pid_141422	None	pid_141694
pid_20792;pid_35212	pid_35070	None	None	pid_35211
None	pid_5603	pid_28383	None	pid_028467
None	pid_41333	pid_41336	None	pid_041335
pid_55748	pid_22522;pid_74146	pid_42127;pid_41361	None	pid_74184
pid_110230	pid_110233	pid_110239	None	pid_110229
pid_25011;pid_3114	pid_26656;pid_3119	pid_156720	None	pid_156714
pid_110552	pid_110555	pid_110239	None	pid_110551
pid_3114;pid_31993	pid_3119;pid_32081	pid_31919	None	pid_32080
None	pid_82982	pid_89059	None	pid_89151
None	pid_20498	pid_31054	None	pid_031129
pid_109644;pid_109669	pid_109586	pid_28349	None	pid_109668
pid_5172	pid_50618	pid_97699	pid_30737	pid_97695
pid_168304	pid_168751	pid_168364;pid_121421	None	pid_168750
pid_88626;pid_98650	pid_98324;pid_98657	None	None	pid_98690
pid_27974;pid_3114	pid_30778;pid_3119	pid_81196	None	pid_81214
pid_164430;pid_3464	pid_164375	None	None	pid_164429
pid_25011;pid_3114	pid_26656;pid_3119	pid_9586	None	pid_161108
None	pid_169483	pid_100547	None	pid_169482
pid_160276;pid_70577	pid_160765	None	None	pid_161102
pid_22522	pid_74307	None	None	pid_74323
pid_98046	pid_77640	pid_77562	None	pid_98045
pid_74195;pid_9423	pid_74327	None	None	pid_74326
None	pid_9270	pid_47482	None	pid_0109758
pid_13062	pid_90138	pid_90130	None	pid_90406
None	pid_73547	pid_94776	None	pid_95127
pid_120375;pid_120565	pid_120431	None	None	pid_120564
None	pid_7435	pid_7375	pid_7543	pid_7802
None	pid_12297	pid_109688	None	pid_0109751
pid_48161;pid_48232	pid_48233	None	None	pid_48231
pid_120487;pid_45554	pid_120522	None	None	pid_120569
pid_3114;pid_3121	pid_3110;pid_3119	pid_3188	None	pid_3182
None	pid_75064	None	pid_108940	pid_0109024
